Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",001,001,"Ad te levavi animam meam deus","Ad te levavi animam meam deus meus in te confido non erubescam neque irrideant me inimici mei etenim universi qui te exspectant non confundentur.","Adventus, dom. 1",MI,In,,g00489,8,,
"P-BRs Ms. 034",001,002,"Vias tuas domine demonstra mihi et","Vias tuas domine demonstra mihi et semitas tuas edoce me","Adventus, dom. 1",MI,InV,,g00489a,8,,
"P-BRs Ms. 034",001,003,"Universi qui te exspectant non confundentur","Universi qui te exspectant non confundentur domine","Adventus, dom. 1",MI,Gr,,g00490,1,,
"P-BRs Ms. 034",001,004,"Vias tuas domine notas fac mihi","Vias tuas domine notas fac mihi et semitas tuas edoce me","Adventus, dom. 1",MI,GrV,,g00490a,1,,
"P-BRs Ms. 034",002,001,"Alleluia Ostende nobis domine misericordiam tuam","Alleluia Ostende nobis domine misericordiam tuam et salutare tuum da nobis","Adventus, dom. 1",MI,Al,,507038,8,,
"P-BRs Ms. 034",002,002,"Alleluia Ecce virgo concipiet et pariet","Alleluia Ecce virgo concipiet et pariet filium Jesum Christum","Adventus, dom. 1",MI,Al,,g02153,2,,
"P-BRs Ms. 034",003,001,"Ad te domine levavi animam meam","Ad te domine levavi animam meam deus meus in te confido non erubescam neque irrideant me inimici mei etenim universi qui te exspectant non confundentur","Adventus, dom. 1",MI,Of,,g00493,2,,
"P-BRs Ms. 034",003,002,"Dominus dabit benignitatem et terra nostra","Dominus dabit benignitatem et terra nostra dabit fructum suum","Adventus, dom. 1",MI,Cm,,g00494,1,,
"P-BRs Ms. 034",003,003,"Populus Sion ecce dominus veniet ad","Populus Sion ecce dominus veniet ad salvandas gentes et auditam faciet dominus gloriam vocis suae in laetitia cordis vestri","Adventus, dom. 2",MI,In,,g00495,7,,
"P-BRs Ms. 034",004,001,"Qui regis Israel intende qui deducis","Qui regis Israel intende qui deducis velut ovem Joseph","Adventus, dom. 2",MI,InV,,g00495a,7,,
